date,Mango,Banana,Apple,Grapes,Orange,Watermelon,Papaya,Guava,Pineapple,Pomegranate,Potato,Onion,Tomato,Cauliflower,Cabbage,Brinjal,Spinach,Okra,Green Peas,Carrot
2023-07-05,85.60,56.20,158.80,177.90,156.70,47.10,27.00,75.80,86.30,240.25,38.75,30.80,185.70,137.70,134.20,30.45,124.20,38.90,165.25,84.00
2023-07-06,83.85,51.30,177.05,181.15,155.95,41.90,29.60,72.10,83.40,213.90,39.00,31.00,189.80,135.85,137.70,34.10,126.80,37.05,167.40,86.20
2023-07-07,92.10,61.40,167.30,175.40,153.20,45.40,27.20,73.40,81.50,252.55,37.95,28.80,192.90,131.00,135.20,31.75,123.40,36.20,163.55,82.40
2023-07-08,88.35,52.50,171.55,182.65,159.45,44.60,28.90,74.70,80.60,226.20,38.20,30.00,177.00,138.15,138.70,30.40,128.00,34.35,171.70,89.60
2023-07-09,86.60,63.60,169.80,177.90,151.70,46.90,30.60,76.00,83.70,241.85,35.75,28.20,170.10,135.30,132.20,33.05,120.60,33.50,166.85,80.80
2023-07-10,80.85,57.70,162.05,181.15,157.15,41.70,29.30,70.30,86.80,260.50,36.00,29.40,185.20,133.45,137.70,31.70,125.20,35.65,163.00,85.00
2023-07-11,83.10,49.80,178.30,182.40,158.40,45.10,27.00,73.60,81.90,230.15,39.25,28.60,193.30,130.60,140.20,30.35,129.80,36.80,168.15,89.20
2023-07-12,94.35,59.90,166.55,177.65,151.65,44.40,30.10,76.90,85.00,256.80,37.80,29.90,175.40,136.75,134.70,33.00,118.40,34.95,170.30,82.40
2023-07-13,85.60,53.00,158.80,181.90,159.90,46.80,28.20,72.20,82.10,241.45,40.05,30.10,180.50,134.90,139.20,32.65,123.00,37.10,165.45,85.60
2023-07-14,86.85,64.10,170.05,177.15,150.15,42.60,29.90,74.50,83.20,232.10,41.30,29.30,185.60,132.05,137.70,34.30,119.60,35.25,169.60,87.80
2023-07-15,89.10,55.20,162.30,182.40,153.40,41.20,30.60,76.80,84.30,251.75,38.55,30.50,182.70,135.20,133.20,31.95,124.20,38.40,173.75,90.00
2023-07-16,80.35,47.30,174.55,178.65,156.65,44.90,28.30,73.10,85.40,241.40,37.80,28.70,177.80,133.35,140.70,30.60,128.80,34.55,165.90,83.20
2023-07-17,84.60,61.40,166.80,176.90,155.90,49.70,30.00,75.40,86.50,224.05,35.05,30.90,193.90,131.50,137.20,34.25,125.40,32.70,162.05,85.40
2023-07-18,85.85,52.50,179.05,181.15,159.15,48.10,27.70,72.70,87.60,212.70,35.30,29.10,180.00,134.65,132.70,32.90,122.00,34.85,163.20,89.60
2023-07-19,89.10,63.60,159.30,177.40,151.40,45.90,29.40,75.00,82.70,241.35,36.55,30.30,198.10,132.80,140.20,31.55,125.60,37.00,165.35,82.80
2023-07-20,83.35,54.70,176.55,178.65,156.65,42.30,30.10,73.30,83.80,230.00,37.80,28.50,194.20,137.95,139.70,34.20,121.20,35.15,171.50,86.00
2023-07-21,85.60,57.80,168.80,179.90,152.90,47.80,28.80,72.60,84.90,255.65,39.05,30.70,189.30,133.10,136.20,32.85,118.80,38.30,163.65,89.20
2023-07-22,87.85,50.90,172.05,177.15,155.15,46.20,30.50,75.90,86.00,221.30,40.30,30.90,186.40,136.25,132.70,31.50,122.40,33.45,167.80,82.40
2023-07-23,86.10,61.00,165.30,180.40,157.40,44.60,29.20,73.20,87.10,248.95,41.55,29.10,191.50,139.40,140.20,34.15,119.00,34.60,171.95,85.60
2023-07-24,90.35,52.10,179.55,179.65,151.65,43.00,30.90,76.50,81.20,218.60,42.80,30.30,188.60,130.55,134.70,32.80,123.60,35.75,166.10,88.80
2023-07-25,84.60,63.20,158.80,175.90,157.90,42.40,29.60,72.80,82.30,243.25,37.05,28.50,184.70,137.70,141.20,31.45,127.20,36.90,170.25,82.00
2023-07-26,86.85,54.30,177.05,182.15,158.15,46.10,30.30,75.10,83.40,222.90,38.30,30.70,191.80,134.85,139.70,34.10,121.80,38.05,164.40,85.20
2023-07-27,88.10,65.40,169.30,176.40,152.40,48.80,28.00,73.40,84.50,231.55,39.55,29.90,186.90,132.00,138.20,32.75,125.40,39.20,168.55,88.40
2023-07-28,90.35,56.50,161.55,180.65,156.65,45.20,29.70,75.70,85.60,257.20,40.80,30.10,184.00,135.15,133.70,31.40,129.00,35.35,172.70,91.60
2023-07-29,82.60,47.60,175.80,178.90,154.90,44.60,30.40,72.00,86.70,235.85,42.05,29.30,195.10,133.30,136.20,34.05,122.60,37.50,166.85,84.80
2023-07-30,84.85,58.70,168.05,177.15,157.15,42.00,31.10,74.30,81.80,221.50,43.30,30.50,182.20,131.45,132.70,32.70,126.20,39.65,161.00,88.00
